,loss,mse,val_loss,val_mse,lr
0,1.0526174966693202e-05,1.0526175174163654e-05,6.5494169722378795e-06,6.549417321366491e-06,4.999999873689376e-06
1,1.0325297842904181e-05,1.032529598887777e-05,6.589902090303029e-06,6.589902568521211e-06,4.999999873689376e-06
2,1.0086420108575938e-05,1.0086419933941215e-05,7.002842745174759e-06,7.002842721703928e-06,4.999999873689376e-06
3,1.0006187672518904e-05,1.0006187039834913e-05,6.577398656396151e-06,6.577398835361237e-06,4.999999873689376e-06
4,9.898935896320063e-06,9.898935786623042e-06,6.551954327498548e-06,6.551954356837086e-06,4.999999873689376e-06
5,9.835269894882552e-06,9.835270248004235e-06,6.601979070945808e-06,6.601978839171352e-06,4.999999873689376e-06
6,9.75819071731333e-06,9.758191481523681e-06,6.916172183522459e-06,6.916172878845828e-06,4.999999873689376e-06
7,9.789472895626872e-06,9.78947264229646e-06,6.675742582545706e-06,6.675743406958645e-06,4.999999873689376e-06
8,9.757574092012556e-06,9.757573934621178e-06,6.688873987337912e-06,6.688876055704895e-06,4.999999873689376e-06
9,9.698048733052315e-06,9.698050234874245e-06,6.657426878988307e-06,6.65742709315964e-06,4.999999873689376e-06
10,9.65349352150466e-06,9.653495908423793e-06,6.781033563686745e-06,6.7810342443408445e-06,4.999999873689376e-06
11,9.549624713758811e-06,9.54962433752371e-06,6.623046940677019e-06,6.623047283937922e-06,9.999999974752427e-07
12,9.529224799144638e-06,9.529225280857645e-06,6.614720499079164e-06,6.614719950448489e-06,9.999999974752427e-07
13,9.525430954444811e-06,9.525434506940655e-06,6.627628200447126e-06,6.627627954003401e-06,9.999999974752427e-07
14,9.522877615208563e-06,9.522879736323375e-06,6.622425782200392e-06,6.622425189561909e-06,9.999999974752427e-07
15,9.513746132203745e-06,9.51374568103347e-06,6.6309100181951505e-06,6.630909865634749e-06,9.999999974752427e-07
16,9.504192271274437e-06,9.504190529696643e-06,6.652060191329163e-06,6.652060164924478e-06,9.999999974752427e-07
17,9.513380886340697e-06,9.51338188315276e-06,6.646479297130774e-06,6.646479050687049e-06,9.999999974752427e-07
18,9.497510340273996e-06,9.497505743638612e-06,6.6949111603589115e-06,6.6949114625458606e-06,9.999999974752427e-07
19,9.501597138940587e-06,9.50159846979659e-06,6.612355273025441e-06,6.61235571897123e-06,9.999999974752427e-07
20,9.491486508853499e-06,9.491488526691683e-06,6.646156966340758e-06,6.64615663481527e-06,9.999999974752427e-07
21,9.485216950968947e-06,9.485217560722958e-06,6.625641151091963e-06,6.625641162827378e-06,9.999999974752427e-07
22,9.475402427812504e-06,9.475403203396127e-06,6.636139785827724e-06,6.636139005422592e-06,9.999999974752427e-07
23,9.46745548800565e-06,9.467455129197333e-06,6.64382374863283e-06,6.6438237809052225e-06,9.999999974752427e-07
24,9.463578753998555e-06,9.463578862778377e-06,6.6347423618877185e-06,6.634742931055371e-06,9.999999974752427e-07
25,9.472258161912283e-06,9.472257261222694e-06,6.632116955804504e-06,6.632117219851352e-06,9.999999974752427e-07
26,9.450659136500812e-06,9.450657671550289e-06,6.62345542115227e-06,6.623455647059018e-06,9.999999974752427e-07
27,9.460209347986321e-06,9.46021009440301e-06,6.639155488359862e-06,6.639153980358969e-06,9.999999974752427e-07
28,9.454729849144833e-06,9.454727660340723e-06,6.627755905238671e-06,6.627756192756351e-06,9.999999974752427e-07
29,9.441115973599239e-06,9.441116162633989e-06,6.6323536591352745e-06,6.6323527789791115e-06,9.999999974752427e-07
30,9.453764485273164e-06,9.453764505451545e-06,6.643233304672439e-06,6.643233518843772e-06,9.999999974752427e-07
31,9.43391069489487e-06,9.433910236111842e-06,6.607040215326819e-06,6.607040631934069e-06,9.999999974752427e-07
32,9.442245488698951e-06,9.44224484555889e-06,6.675178563807182e-06,6.675179520243546e-06,9.999999974752427e-07
