,loss,mse,val_loss,val_mse,lr
0,2.412024698174715e-05,2.4120236048474908e-05,1.3211898591628066e-05,1.3211893019615673e-05,0.0010000000474974513
1,2.578973709236001e-05,2.5789726350922137e-05,1.5661256515524128e-05,1.566126047691796e-05,0.0010000000474974513
2,2.1691100903237818e-05,2.1691092115361243e-05,1.659379215452434e-05,1.6593792679486796e-05,0.0010000000474974513
3,2.3940089154406433e-05,2.394007969996892e-05,3.233599536686702e-05,3.233600000385195e-05,0.0010000000474974513
4,2.2520335613461695e-05,2.2520320271723904e-05,3.275456655612559e-05,3.275456765550189e-05,0.0010000000474974513
5,2.2721179569085284e-05,2.2721182176610455e-05,2.6647754530119612e-05,2.6647747290553525e-05,0.0010000000474974513
6,2.0238243137439623e-05,2.0238247088855132e-05,1.5301536299429583e-05,1.5301533494493924e-05,0.0010000000474974513
7,2.0763165140874124e-05,2.0763160136993974e-05,0.00011338818861277463,0.0001133881596615538,0.0010000000474974513
8,2.053001819272078e-05,2.053002936008852e-05,5.636745721231587e-05,5.6367451179539785e-05,0.0010000000474974513
9,1.9694279987198243e-05,1.9694283764692955e-05,1.3687937075547407e-05,1.3687942555407062e-05,0.0010000000474974513
10,1.8121896372276112e-05,1.8121896573575214e-05,4.707377373685043e-05,4.707378684543073e-05,0.0010000000474974513
11,1.178270803256514e-05,1.1782703040807974e-05,1.1110242014097324e-05,1.1110239029221702e-05,0.00020000000949949026
12,1.1265533968813742e-05,1.1265531611570623e-05,9.969991616450433e-06,9.969992788683157e-06,0.00020000000949949026
13,1.1618232542077723e-05,1.161822638096055e-05,1.0431220350730455e-05,1.0431221198814455e-05,0.00020000000949949026
14,1.2192255935525051e-05,1.2192245776532218e-05,9.75025955125938e-06,9.75025977822952e-06,0.00020000000949949026
15,1.1574686858051783e-05,1.157468886958668e-05,9.73340513681846e-06,9.733401384437457e-06,0.00020000000949949026
16,1.215551697804743e-05,1.215551674249582e-05,1.0960543186502124e-05,1.096053711080458e-05,0.00020000000949949026
17,1.2107967324495842e-05,1.2107961993024219e-05,9.409079711744003e-06,9.409081030753441e-06,0.00020000000949949026
18,1.1891920578152604e-05,1.1891917893080972e-05,2.3934965853528638e-05,2.3934971977723762e-05,0.00020000000949949026
19,1.2223198641887586e-05,1.2223202247696463e-05,1.3828416976831443e-05,1.3828423107042909e-05,0.00020000000949949026
20,1.1788811979438842e-05,1.1788810297730379e-05,1.240631968731962e-05,1.2406321729940828e-05,0.00020000000949949026
21,1.0413365419199079e-05,1.041336599882925e-05,9.768445104559688e-06,9.76844512479147e-06,4.0000002627493814e-05
22,1.0333328168919115e-05,1.0333335922041442e-05,9.834386451425235e-06,9.834388038143516e-06,4.0000002627493814e-05
23,1.0325510809711266e-05,1.0325515177100897e-05,9.968946733564686e-06,9.968946869776119e-06,4.0000002627493814e-05
24,1.0438229716020298e-05,1.0438227036502212e-05,9.25117562926589e-06,9.251174560631625e-06,4.0000002627493814e-05
25,1.0518349384368626e-05,1.051833987730788e-05,1.2995933964323823e-05,1.2995929864700884e-05,4.0000002627493814e-05
26,1.0402309126094673e-05,1.0402314728708006e-05,9.570181905043925e-06,9.570184374751989e-06,4.0000002627493814e-05
27,1.038336665663537e-05,1.0383364497101866e-05,9.433698261518502e-06,9.433695595362224e-06,4.0000002627493814e-05
28,1.0355814763431029e-05,1.0355815902585164e-05,9.12387480312731e-06,9.123871677729767e-06,4.0000002627493814e-05
