,Simple_LSTM_5_steps_10_year,Simple_LSTM_8_steps_10_year,Simple_LSTM_11_steps_10_year,Bidirectional_5_steps_10_year,Bidirectional_8_steps_10_year,Bidirectional_11_steps_10_year
0,0.7127617982864927,0.71574460483254,0.7404575019561815,0.726959948666871,0.7259199380363163,0.7312467532719266
1,1.4528041846975417,1.4410541458012327,1.4454809333453107,1.432636776847685,1.4529149865591398,1.4813719379357086
2,2.214342845139607,2.1841299441841233,2.150954657704428,2.143044771516795,2.2170310404835147,2.177846039001472
3,2.759182837701613,2.7129603005808574,2.5944522559875742,2.7212394190630795,2.782243756379178,2.699865122310451
4,3.1838376647779834,3.1979468560987905,3.138464146729545,3.201180113307419,3.211009174311927,3.169414955331245
5,3.600973334194215,3.6181146092107777,3.628885501964147,3.637534644882049,3.639038993830291,3.670645882234966
6,4.116733961112722,4.1531588135722375,4.292947939938134,4.123465726167054,4.166103481833909,4.198225497603168
7,4.704407245498615,4.67581469557098,4.980358254129894,4.728114772051044,4.697693099373182,4.6079852348270345
8,5.2434674579492295,5.2475554774101445,5.921501522638474,5.330330807567128,5.227714157809612,5.363638609589346
9,5.903469977250958,5.8669548989226135,6.859953732630212,6.039635944984503,5.956964802109322,6.161154066437572
10,1.1873087271208382,1.1856828467646525,1.205216483374596,1.1757495183631805,1.1983857490038243,1.217696015506611
11,2.2791485129881894,2.2909428751946077,2.288679040794859,2.2539895502731353,2.3192061004634446,2.3284819287488236
12,3.3684296106120177,3.408209900146276,3.3645963208706746,3.3276079452464975,3.4478821654607024,3.435505903637706
13,4.198045277854493,4.282591174383421,4.261073887314751,4.16639762867034,4.340248804267428,4.325309818478056
14,5.00361095939633,5.124667425238802,5.2624498612308335,4.991365361072079,5.198282878911032,5.239334311442053
15,5.725076568111802,5.8526951911861955,6.120223492309409,5.717720913936003,5.937428366940753,6.033681658172319
16,6.570620222251723,6.686524163474227,7.18847989991959,6.57541017806307,6.7885379802098615,7.000264879792961
17,7.443417299761914,7.552587550340975,8.471009681363338,7.484514504729736,7.6834272696901715,8.058063626354864
18,8.421915764750379,8.511987522489767,10.04781577754993,8.52387186380264,8.67565048640643,9.272047322596194
19,9.47818885037113,9.557353701612428,11.75970356171261,9.636457632312815,9.754371174643634,10.558079829093487
20,0.628930817610063,0.6773101112723754,0.6773101112723754,0.6773101112723754,0.6773101112723754,0.7740686985970004
21,2.1286889211417512,2.370585389453314,2.370585389453314,2.080309627479439,2.370585389453314,2.564102564102564
22,5.418480890179003,5.563618771165941,5.563618771165941,4.98306724721819,5.466860183841316,5.611998064828253
23,7.934204160619256,8.176100628930817,8.514755684567005,7.837445573294629,8.659893565553944,8.514755684567005
24,11.223996129656506,11.417513304305757,12.046444121915819,11.320754716981133,11.852926947266571,11.65940977261732
25,13.884857281083695,14.029995162070632,15.432994678277698,14.223512336719885,14.658925979680696,14.029995162070632
26,16.787614900822447,17.61006289308176,19.013062409288825,17.561683599419446,17.803580067731012,17.464925012094824
27,21.04499274310595,20.657958393807448,23.89937106918239,21.528785679729076,22.206095791001452,21.335268505079828
28,25.495887760038705,24.576681180454766,29.753265602322205,25.592646347363328,25.78616352201258,25.205611998064832
29,29.559748427672954,29.027576197387518,35.22012578616352,30.430575713594582,29.46298984034833,29.221093372036766
30,0.14513788098693758,0.14513788098693758,0.1935171746492501,0.14513788098693758,0.14513788098693758,0.1935171746492501
31,0.43541364296081275,0.43541364296081275,0.48379293662312534,0.48379293662312534,0.48379293662312534,0.43541364296081275
32,1.3062409288824384,1.3546202225447508,1.3546202225447508,1.209482341557813,1.3546202225447508,1.4513788098693758
33,2.0319303338171264,2.2254475084663765,2.3222060957910013,1.983551040154814,2.370585389453314,2.2254475084663765
34,3.24141267537494,3.531688437348815,3.6768263183357526,3.1930333817126266,3.6284470246734397,3.725205611998065
35,4.354136429608127,4.354136429608127,4.741170778906628,4.2573778422835025,4.596032897919691,4.837929366231252
36,5.370101596516691,5.321722302854378,6.386066763425253,5.2733430091920654,5.563618771165941,6.047411707789066
37,6.773101112723754,6.48282535074988,8.079342041606193,6.48282535074988,6.869859700048379,7.160135462022255
38,8.80503144654088,8.514755684567005,10.062893081761008,8.61151427189163,8.80503144654088,8.950169327527819
39,10.062893081761008,10.062893081761008,13.497822931785198,10.836961780358006,10.836961780358006,11.127237542331882
