,loss,mse,val_loss,val_mse,lr
0,1.1839031210558406e-05,1.1839031685667578e-05,1.3192732278126171e-05,1.3192732694733422e-05,4.999999873689376e-06
1,1.1854339548751377e-05,1.185434030048782e-05,1.313259561415649e-05,1.3132595086062793e-05,4.999999873689376e-06
2,1.1807393199872107e-05,1.180739673145581e-05,1.5119668798081788e-05,1.51196663864539e-05,4.999999873689376e-06
3,1.1857152711619554e-05,1.1857151548611e-05,1.3108700600681797e-05,1.3108699931763113e-05,4.999999873689376e-06
4,1.1689494288568364e-05,1.1689493476296775e-05,1.3295016657549798e-05,1.3295015378389508e-05,4.999999873689376e-06
5,1.1716730356638231e-05,1.1716731933120172e-05,1.3071914908059333e-05,1.3071914509055205e-05,4.999999873689376e-06
6,1.1768761668749212e-05,1.1768760487029795e-05,1.3335506634076968e-05,1.3335506082512438e-05,4.999999873689376e-06
7,1.1685604389634632e-05,1.1685599929478485e-05,1.3207448377685186e-05,1.3207447409513406e-05,4.999999873689376e-06
8,1.1592576980512677e-05,1.1592577720875852e-05,1.3289776248829214e-05,1.3289776688907295e-05,4.999999873689376e-06
9,1.167528310182706e-05,1.1675281712086871e-05,1.3151812509609192e-05,1.3151812709111255e-05,4.999999873689376e-06
10,1.1558461470304542e-05,1.1558459846128244e-05,1.323481507912924e-05,1.3234815014584456e-05,4.999999873689376e-06
11,1.1462982793190272e-05,1.1462982001830824e-05,1.3185965661015813e-05,1.318596514465753e-05,9.999999974752427e-07
12,1.1477051002521644e-05,1.1477054613351356e-05,1.3166904060316512e-05,1.3166904864192475e-05,9.999999974752427e-07
13,1.147112842750533e-05,1.14711265268852e-05,1.3254558026317448e-05,1.325455741607584e-05,9.999999974752427e-07
14,1.1506182393712943e-05,1.1506181181175634e-05,1.3214144042473391e-05,1.3214142200013157e-05,9.999999974752427e-07
15,1.1447860447581013e-05,1.1447861652413849e-05,1.3161575272181747e-05,1.3161577044229489e-05,9.999999974752427e-07
16,1.1448512196840747e-05,1.1448514669609722e-05,1.3238705950272795e-05,1.3238704923423938e-05,9.999999974752427e-07
17,1.1463848105307154e-05,1.1463848750281613e-05,1.3169467280432957e-05,1.3169466001272667e-05,9.999999974752427e-07
18,1.1460152332954575e-05,1.1460154382803012e-05,1.3184327796015198e-05,1.3184328054194339e-05,9.999999974752427e-07
19,1.1446097659373466e-05,1.1446096323197708e-05,1.3208552868051019e-05,1.3208553355070762e-05,9.999999974752427e-07
20,1.1448380640761821e-05,1.1448384611867368e-05,1.3155005328899865e-05,1.3155007763998583e-05,9.999999974752427e-07
21,1.1453959234719357e-05,1.1453957995399833e-05,1.3228820423518623e-05,1.3228819625510368e-05,9.999999974752427e-07
22,1.1422964037571553e-05,1.1422966053942218e-05,1.3205721194437149e-05,1.3205721188569441e-05,9.999999974752427e-07
23,1.1443585912368199e-05,1.1443586117820814e-05,1.3215025718372706e-05,1.3215027138357982e-05,9.999999974752427e-07
24,1.1442793130894545e-05,1.1442793038440868e-05,1.3215745422067196e-05,1.3215745639172383e-05,9.999999974752427e-07
25,1.1427773229462401e-05,1.142777364293579e-05,1.3171832582766881e-05,1.3171833415981382e-05,9.999999974752427e-07
26,1.1417219016723102e-05,1.1417218956921715e-05,1.3141878709223331e-05,1.3141881026967894e-05,9.999999974752427e-07
27,1.1432117899961078e-05,1.1432115570642054e-05,1.3251162823918652e-05,1.3251162272354122e-05,9.999999974752427e-07
28,1.1403011860521853e-05,1.1403010830690619e-05,1.3367981427431768e-05,1.3367980500333942e-05,9.999999974752427e-07
