,loss,mse,val_loss,val_mse,lr
0,4.949935110248576e-05,4.949934736941941e-05,2.6073647146878517e-05,2.6073648768942803e-05,0.0010000000474974513
1,3.251437532753478e-05,3.251440284657292e-05,2.0312488574357385e-05,2.0312492779339664e-05,0.0010000000474974513
2,4.2669996281558135e-05,4.266998075763695e-05,2.525146196399632e-05,2.525146192056127e-05,0.0010000000474974513
3,3.240898150022278e-05,3.2408985134679824e-05,1.458264850948726e-05,1.4582646144845057e-05,0.0010000000474974513
4,3.40722515408108e-05,3.407226176932454e-05,2.5158116904144238e-05,2.5158131393254735e-05,0.0010000000474974513
5,4.271104520324187e-05,4.2711028072517365e-05,0.00010924106113126759,0.00010924105299636722,0.0010000000474974513
6,3.656283957965815e-05,3.6562811146723107e-05,1.570146642262262e-05,1.570146378071513e-05,0.0010000000474974513
7,3.723176420456845e-05,3.723178451764397e-05,2.3348113734384944e-05,2.3348129616351798e-05,0.0010000000474974513
8,3.908399512132507e-05,3.908399594365619e-05,1.701908808311557e-05,1.7019086953951046e-05,0.0010000000474974513
9,3.286900429720792e-05,3.286900027887896e-05,1.6612225494010325e-05,1.6612219042144716e-05,0.0010000000474974513
10,3.1326731202029024e-05,3.1326730095315725e-05,1.547807920285078e-05,1.5478084606002085e-05,0.0010000000474974513
11,1.733596904087444e-05,1.7335965821985155e-05,1.2175326762416365e-05,1.2175324627605733e-05,0.00020000000949949026
12,1.7736736648594433e-05,1.773674739524722e-05,1.4505392563445805e-05,1.4505395483865868e-05,0.00020000000949949026
13,1.8204343561217328e-05,1.8204349544248544e-05,1.2244823046659118e-05,1.2244824574736413e-05,0.00020000000949949026
14,1.814512875642239e-05,1.814513234421611e-05,1.6738914652660815e-05,1.673890983511228e-05,0.00020000000949949026
15,1.9565022623480075e-05,1.9565011825761758e-05,2.1284536090095887e-05,2.1284531612764113e-05,0.00020000000949949026
16,1.900119123876328e-05,1.9001192413270473e-05,2.6144845488641402e-05,2.61448494711658e-05,0.00020000000949949026
17,1.9529661480040426e-05,1.9529665223672055e-05,1.3211499728309729e-05,1.3211500117904507e-05,0.00020000000949949026
18,2.0069537709780212e-05,2.0069532183697447e-05,1.4591976737493792e-05,1.4591977560485248e-05,0.00020000000949949026
19,1.9543885275465336e-05,1.954388244485017e-05,1.3788243614420131e-05,1.3788248907076195e-05,0.00020000000949949026
20,1.9744318762564463e-05,1.9744320525205694e-05,1.2522339776910243e-05,1.2522341421572492e-05,0.00020000000949949026
21,1.6258024865966534e-05,1.6258018149528652e-05,1.205249682607363e-05,1.2052498277626e-05,4.0000002627493814e-05
22,1.6182377912020496e-05,1.6182375475182198e-05,1.2270029659595727e-05,1.2270027582417242e-05,4.0000002627493814e-05
23,1.6158458752299308e-05,1.615845576452557e-05,1.211304451648458e-05,1.2113040611438919e-05,4.0000002627493814e-05
24,1.6180061079260218e-05,1.6180061720660888e-05,1.262162299340973e-05,1.2621622772712726e-05,4.0000002627493814e-05
25,1.6373887375695125e-05,1.6373882317566313e-05,1.272953041759087e-05,1.2729533409583382e-05,4.0000002627493814e-05
26,1.6183700425831126e-05,1.6183701518457383e-05,1.2039181689372548e-05,1.2039184184686746e-05,4.0000002627493814e-05
27,1.6286517763387367e-05,1.6286505342577584e-05,1.2867415946535416e-05,1.2867415534856264e-05,4.0000002627493814e-05
28,1.622838120814317e-05,1.6228377717197873e-05,1.2743702331500954e-05,1.2743706975015812e-05,4.0000002627493814e-05
29,1.6336376679826983e-05,1.633638567000162e-05,1.2487065982894261e-05,1.2487063941080123e-05,4.0000002627493814e-05
30,1.6329203735914487e-05,1.632920975680463e-05,1.2872921325272223e-05,1.2872921615780797e-05,4.0000002627493814e-05
31,1.5612816793223795e-05,1.561281351314392e-05,1.2179143924739568e-05,1.2179144505353179e-05,8.000000889296643e-06
32,1.557196486606745e-05,1.5571966287097894e-05,1.2605707679773818e-05,1.2605709343915805e-05,8.000000889296643e-06
33,1.5569890242619693e-05,1.556989263917785e-05,1.2179168305595441e-05,1.2179173609183636e-05,8.000000889296643e-06
34,1.562481997501317e-05,1.56248079292709e-05,1.2140671102739909e-05,1.2140670150984079e-05,8.000000889296643e-06
35,1.565257607431186e-05,1.565257116453722e-05,1.2470100701133571e-05,1.2470104593376163e-05,8.000000889296643e-06
36,1.559373154435579e-05,1.559373049531132e-05,1.2404588948653687e-05,1.2404585504555143e-05,8.000000889296643e-06
37,1.558850937281172e-05,1.558851363370195e-05,1.3307582699690365e-05,1.330758459516801e-05,8.000000889296643e-06
38,1.5557226475810914e-05,1.555722701596096e-05,1.2072540566432681e-05,1.207254535984248e-05,8.000000889296643e-06
39,1.563392508957416e-05,1.5633919247193262e-05,1.2188235497030103e-05,1.2188238542876206e-05,8.000000889296643e-06
40,1.564569404280099e-05,1.5645689927623607e-05,1.2199156665350299e-05,1.2199153388792183e-05,8.000000889296643e-06
41,1.5559266092957274e-05,1.5559266103082336e-05,1.2243366636643762e-05,1.2243365745234769e-05,4.999999873689376e-06
42,1.54799899075974e-05,1.5479992725886405e-05,1.2957002814516562e-05,1.2957003491465002e-05,4.999999873689376e-06
43,1.552673859075624e-05,1.5526735296589322e-05,1.2523048806792985e-05,1.2523044460976962e-05,4.999999873689376e-06
44,1.5495562898792583e-05,1.5495561456191353e-05,1.2704477118013256e-05,1.2704480468528345e-05,4.999999873689376e-06
45,1.5606771894797513e-05,1.5606778106302954e-05,1.2558182013442328e-05,1.2558176422317047e-05,4.999999873689376e-06
46,1.5491306829411177e-05,1.5491303201997653e-05,1.231040869851832e-05,1.2310411875660066e-05,4.999999873689376e-06
47,1.5525969335647236e-05,1.5525973140029237e-05,1.236480690231747e-05,1.2364807844278403e-05,4.999999873689376e-06
48,1.552461216176831e-05,1.5524614354944788e-05,1.2185519443419407e-05,1.2185515515739098e-05,4.999999873689376e-06
49,1.550249649768456e-05,1.5502486348850653e-05,1.246447329922129e-05,1.2464476640161593e-05,4.999999873689376e-06
50,1.551928467813347e-05,1.5519286534981802e-05,1.2179721798310728e-05,1.2179725672467612e-05,4.999999873689376e-06
51,1.5490031239760276e-05,1.5490033547393978e-05,1.2558060904677349e-05,1.2558059097500518e-05,4.999999873689376e-06
52,1.5500630824701565e-05,1.5500636436627246e-05,1.2358140275044587e-05,1.2358141248114407e-05,4.999999873689376e-06
