,loss,mse,val_loss,val_mse,lr
0,1.4071478418541994e-05,1.4071479199628811e-05,1.3731070524250578e-05,1.3731068975175731e-05,4.999999873689376e-06
1,1.3753131112611125e-05,1.3753133316640742e-05,1.3860159983338352e-05,1.3860159924661275e-05,4.999999873689376e-06
2,1.3556606908059841e-05,1.3556607882492244e-05,1.621907229550303e-05,1.621906631044112e-05,4.999999873689376e-06
3,1.3455037144794936e-05,1.3455036423692945e-05,1.3153841709643002e-05,1.3153842701285612e-05,4.999999873689376e-06
4,1.334707245352467e-05,1.3347073036129586e-05,1.346399316858996e-05,1.3463992218021303e-05,4.999999873689376e-06
5,1.3309146805490567e-05,1.3309147107065655e-05,1.3038091956038824e-05,1.3038091310590971e-05,4.999999873689376e-06
6,1.3310708224086796e-05,1.3310706890479196e-05,1.2949715974466545e-05,1.2949714800924994e-05,4.999999873689376e-06
7,1.3263098042765865e-05,1.3263095752336085e-05,1.3387744946803356e-05,1.3387745639192872e-05,4.999999873689376e-06
8,1.3148611339124167e-05,1.314861401624512e-05,1.3216063334473274e-05,1.3216060324339196e-05,4.999999873689376e-06
9,1.3296038170669671e-05,1.3296040378918406e-05,1.3160479894366056e-05,1.316048019361915e-05,4.999999873689376e-06
10,1.3061851754013444e-05,1.3061855497653596e-05,1.2943637715755856e-05,1.2943638466822449e-05,4.999999873689376e-06
11,1.2931875733372634e-05,1.2931876881339122e-05,1.2962389125952483e-05,1.2962391338078305e-05,9.999999974752427e-07
12,1.2924876275172019e-05,1.2924874681630172e-05,1.2983599633791469e-05,1.298360075452365e-05,9.999999974752427e-07
13,1.2908396897979693e-05,1.290839645662345e-05,1.332877001855635e-05,1.3328770364751108e-05,9.999999974752427e-07
14,1.2943913904486252e-05,1.2943907677254174e-05,1.291538606423156e-05,1.2915387742395978e-05,9.999999974752427e-07
15,1.2872680654716778e-05,1.2872681509179529e-05,1.2924827100388e-05,1.292482738790568e-05,9.999999974752427e-07
16,1.2902611758472455e-05,1.2902613889309578e-05,1.3087407669151998e-05,1.3087408660794608e-05,9.999999974752427e-07
17,1.291180230222514e-05,1.2911805242765695e-05,1.288438442345303e-05,1.2884382158517838e-05,9.999999974752427e-07
18,1.2910285174810185e-05,1.2910285477119032e-05,1.300210029923267e-05,1.3002102605241816e-05,9.999999974752427e-07
19,1.2907795411968499e-05,1.2907797099614982e-05,1.2950214735493289e-05,1.2950215932505671e-05,9.999999974752427e-07
20,1.2933330842714425e-05,1.2933330253872555e-05,1.2871555947875153e-05,1.287155373574933e-05,9.999999974752427e-07
21,1.2870633161831845e-05,1.2870629689132329e-05,1.287710817245346e-05,1.287710892938776e-05,9.999999974752427e-07
