,loss,mse,val_loss,val_mse,lr
0,1.1783879076158113e-05,1.178388083644677e-05,1.3340547276687087e-05,1.3340545592654962e-05,4.999999873689376e-06
1,1.1801736784499623e-05,1.1801738764916081e-05,1.3196001688606151e-05,1.3196001418691594e-05,4.999999873689376e-06
2,1.1759068891309321e-05,1.1759068911487702e-05,1.4645296634567315e-05,1.4645296687376685e-05,4.999999873689376e-06
3,1.1798176674434955e-05,1.179817809315864e-05,1.3184292161426011e-05,1.3184291674406268e-05,4.999999873689376e-06
4,1.163982694359784e-05,1.1639827789622359e-05,1.3348501641068592e-05,1.334850094281137e-05,4.999999873689376e-06
5,1.1654802039116533e-05,1.1654798072413541e-05,1.3112850836243465e-05,1.3112850865582004e-05,4.999999873689376e-06
6,1.1697224928228852e-05,1.1697225090756547e-05,1.3350693359004049e-05,1.3350691915547941e-05,4.999999873689376e-06
7,1.1632350716644469e-05,1.1632351743173786e-05,1.3236754362409439e-05,1.3236754057288636e-05,4.999999873689376e-06
8,1.154343794593566e-05,1.1543440450623166e-05,1.3285265172711543e-05,1.3285262866702396e-05,4.999999873689376e-06
9,1.1611841446757398e-05,1.1611841728154104e-05,1.3203475845652827e-05,1.3203475646150764e-05,4.999999873689376e-06
10,1.153007997602228e-05,1.1530075425980613e-05,1.3212572042492309e-05,1.3212572412157897e-05,4.999999873689376e-06
11,1.1450454176783564e-05,1.1450450983829796e-05,1.3225436428441635e-05,1.3225437214714475e-05,9.999999974752427e-07
12,1.1461050993057656e-05,1.146105114457896e-05,1.3197082766818048e-05,1.3197082807892002e-05,9.999999974752427e-07
13,1.1457384840735231e-05,1.1457386790425517e-05,1.3271609021748807e-05,1.3271607713249978e-05,9.999999974752427e-07
14,1.1492406614811045e-05,1.149241052189609e-05,1.325743915883997e-05,1.3257438695291057e-05,9.999999974752427e-07
15,1.1439636623687257e-05,1.1439638001320418e-05,1.3189191656326125e-05,1.318919203185942e-05,9.999999974752427e-07
16,1.143708028172435e-05,1.1437077773734927e-05,1.3268439720230807e-05,1.3268439943203703e-05,9.999999974752427e-07
17,1.1452344641684406e-05,1.1452342732809484e-05,1.3203235856405714e-05,1.32032373585389e-05,9.999999974752427e-07
18,1.1447588619921443e-05,1.1447587894508615e-05,1.3204087313610099e-05,1.3204085917095654e-05,9.999999974752427e-07
19,1.1435579956664518e-05,1.1435579835961107e-05,1.3224506942459547e-05,1.3224506801634561e-05,9.999999974752427e-07
20,1.143776307047168e-05,1.1437765351729468e-05,1.3176395529421092e-05,1.3176395441405475e-05,9.999999974752427e-07
21,1.144166777795297e-05,1.144166526501067e-05,1.3283236518374554e-05,1.3283236512506846e-05,9.999999974752427e-07
22,1.1417184640831788e-05,1.1417184396123048e-05,1.3241459741801655e-05,1.324146069237031e-05,9.999999974752427e-07
23,1.1433106028165948e-05,1.1433105100877583e-05,1.3239145142330427e-05,1.3239145118859597e-05,9.999999974752427e-07
24,1.1435416682370609e-05,1.1435416126914788e-05,1.3229997814285583e-05,1.3229997421149164e-05,9.999999974752427e-07
25,1.1420028896935432e-05,1.1420029295550194e-05,1.3204077714040214e-05,1.3204076822148636e-05,9.999999974752427e-07
26,1.1410227872933006e-05,1.141022949013859e-05,1.3173790108750484e-05,1.3173790648579597e-05,9.999999974752427e-07
27,1.1424269052771576e-05,1.142426481237635e-05,1.3260565274028903e-05,1.3260565538075753e-05,9.999999974752427e-07
28,1.1398880839097047e-05,1.1398880815249868e-05,1.3360549905149627e-05,1.336055083811516e-05,9.999999974752427e-07
29,1.1421624978873197e-05,1.1421625458751805e-05,1.3202864676948652e-05,1.3202864465711173e-05,9.999999974752427e-07
30,1.1412781856226514e-05,1.1412783351261169e-05,1.3190348281275347e-05,1.3190347090130672e-05,9.999999974752427e-07
31,1.1411912092024837e-05,1.1411912964831572e-05,1.3254378709168504e-05,1.3254375517135486e-05,9.999999974752427e-07
32,1.1407228211003732e-05,1.1407225429138634e-05,1.3293880587180835e-05,1.3293880329001695e-05,9.999999974752427e-07
33,1.1393065079445675e-05,1.1393067325116135e-05,1.323274989244378e-05,1.3232750461611431e-05,9.999999974752427e-07
34,1.1407954784821829e-05,1.1407952115405351e-05,1.3267477920782122e-05,1.3267478607303929e-05,9.999999974752427e-07
35,1.1392054278627522e-05,1.1392055967007764e-05,1.3200735144979966e-05,1.3200736248109024e-05,9.999999974752427e-07
36,1.13930137430741e-05,1.1393012755434029e-05,1.326513919916432e-05,1.326514029642567e-05,9.999999974752427e-07
37,1.1382743859510843e-05,1.1382745469745714e-05,1.3412912284688754e-05,1.3412914086075034e-05,9.999999974752427e-07
38,1.1400417270619595e-05,1.1400417861295864e-05,1.3223042908301126e-05,1.322304433415411e-05,9.999999974752427e-07
39,1.1388524950134043e-05,1.1388526218070183e-05,1.3314328609868103e-05,1.3314328498381656e-05,9.999999974752427e-07
40,1.1376983670205878e-05,1.1376983820809983e-05,1.3244901657021875e-05,1.3244901310827117e-05,9.999999974752427e-07
41,1.1380563594157439e-05,1.1380563591956161e-05,1.3304523775830955e-05,1.3304524145496543e-05,9.999999974752427e-07
42,1.1382616683975177e-05,1.1382616321498062e-05,1.3226061004858029e-05,1.3226062037574593e-05,9.999999974752427e-07
43,1.136324381597782e-05,1.1363244993845001e-05,1.3387493650483403e-05,1.3387492799665779e-05,9.999999974752427e-07
44,1.138204803699636e-05,1.1382049706298858e-05,1.323092469500543e-05,1.3230924196250271e-05,9.999999974752427e-07
45,1.1381940760647111e-05,1.1381939657439943e-05,1.3209431187621498e-05,1.3209431926952675e-05,9.999999974752427e-07
46,1.1380587665866342e-05,1.1380587238818407e-05,1.3210491570428149e-05,1.3210494216764346e-05,9.999999974752427e-07
47,1.1362727112372992e-05,1.1362727491359692e-05,1.3187936770742865e-05,1.3187936019676272e-05,9.999999974752427e-07
48,1.1367731487550167e-05,1.1367732440703548e-05,1.3205892660593118e-05,1.3205891264078673e-05,9.999999974752427e-07
49,1.1360177875401775e-05,1.1360179087205324e-05,1.3206558956411637e-05,1.3206557923695073e-05,9.999999974752427e-07
50,1.1371355817699777e-05,1.1371355867595412e-05,1.324830344298877e-05,1.324830373050645e-05,9.999999974752427e-07
51,1.1360302754270707e-05,1.1360302778484765e-05,1.3185404068574444e-05,1.3185403986426536e-05,9.999999974752427e-07
52,1.1355944016688287e-05,1.135594447987387e-05,1.3401762871287628e-05,1.3401761862041894e-05,9.999999974752427e-07
53,1.1384705254725794e-05,1.138470815931214e-05,1.3220740848121369e-05,1.3220739674579818e-05,9.999999974752427e-07
54,1.1342777788546486e-05,1.1342776815581601e-05,1.3341463360824668e-05,1.3341461453819647e-05,9.999999974752427e-07
55,1.1383862350885391e-05,1.1383863238734193e-05,1.32234329407032e-05,1.322343359788647e-05,9.999999974752427e-07
