,loss,mse,val_loss,val_mse,lr
0,1.174720506893589e-05,1.1747206372092478e-05,1.3062998497785415e-05,1.3062997822999023e-05,4.999999873689376e-06
1,1.1696749362474536e-05,1.1696748515532818e-05,1.3023183624506102e-05,1.3023185601923615e-05,4.999999873689376e-06
2,1.1615942168690902e-05,1.161593809229089e-05,1.5252151223971704e-05,1.5252151570166461e-05,4.999999873689376e-06
3,1.1648292744078542e-05,1.1648297004285268e-05,1.2851831126036198e-05,1.2851832252636086e-05,4.999999873689376e-06
4,1.1507412560690863e-05,1.1507416274980642e-05,1.3060675296254622e-05,1.3060675883025397e-05,4.999999873689376e-06
5,1.1545582495553194e-05,1.1545583220140543e-05,1.277068103879555e-05,1.2770680768880993e-05,4.999999873689376e-06
6,1.1608556526529316e-05,1.1608557542786002e-05,1.2971428253466353e-05,1.2971428077435121e-05,4.999999873689376e-06
7,1.1517168541592134e-05,1.1517166058183648e-05,1.2893245870908421e-05,1.2893246093881316e-05,4.999999873689376e-06
8,1.1434483970422683e-05,1.1434482985350769e-05,1.2978053828485445e-05,1.2978051927348133e-05,4.999999873689376e-06
9,1.1555196058536031e-05,1.1555195669643581e-05,1.2783561719369308e-05,1.2783561942342203e-05,4.999999873689376e-06
10,1.1429129602313021e-05,1.142913333751494e-05,1.2894135069209077e-05,1.2894137398689054e-05,4.999999873689376e-06
11,1.1329009479864987e-05,1.1329010703775566e-05,1.2772798066679013e-05,1.277279807254672e-05,9.999999974752427e-07
12,1.1343846386120322e-05,1.1343844562361483e-05,1.2778661491005726e-05,1.2778663403878454e-05,9.999999974752427e-07
13,1.1337755728026543e-05,1.1337755495333113e-05,1.2895589996685064e-05,1.2895589861727785e-05,9.999999974752427e-07
14,1.1378485557989664e-05,1.1378481758583803e-05,1.2771420862859926e-05,1.2771420188073535e-05,9.999999974752427e-07
15,1.1314745602599247e-05,1.1314748007862363e-05,1.2740646730714118e-05,1.2740647434839047e-05,9.999999974752427e-07
16,1.1321701509431444e-05,1.132170291384682e-05,1.282922809379318e-05,1.2829228580812924e-05,9.999999974752427e-07
17,1.1340435687434357e-05,1.1340438504703343e-05,1.2743839778845394e-05,1.2743840670736972e-05,9.999999974752427e-07
18,1.1341219905753075e-05,1.1341217941662762e-05,1.2780173282437552e-05,1.27801749840728e-05,9.999999974752427e-07
19,1.1326828253653728e-05,1.1326825188007206e-05,1.2785548096871936e-05,1.2785547369276173e-05,9.999999974752427e-07
20,1.1335522739404693e-05,1.1335519957356155e-05,1.2732421172615666e-05,1.2732421964756213e-05,9.999999974752427e-07
21,1.1334159817201645e-05,1.1334160262777004e-05,1.2780981265795191e-05,1.2780981705873273e-05,9.999999974752427e-07
22,1.1306360858678423e-05,1.1306362466712017e-05,1.2770780813298188e-05,1.2770783541782293e-05,9.999999974752427e-07
23,1.1331959674491164e-05,1.1331959285598714e-05,1.2789710871725074e-05,1.2789711945515592e-05,9.999999974752427e-07
24,1.132947988123763e-05,1.1329478184052277e-05,1.2792393716799486e-05,1.2792391316907015e-05,9.999999974752427e-07
